Lane,Occup,Flow,Sample
Left,0.1122,140,1634
Left,0.1232,151,1635
Left,0.1237,152,1636
Left,0.1289,155,1637
Left,0.1318,157,1638
Left,0.1353,160,1639
Left,0.1293,157,1640
Left,0.1417,169,1641
Left,0.1607,167,1642
Left,0.309,142,1643
Left,0.3212,147,1644
Left,0.2982,143,1645
Left,0.3259,141,1646
Left,0.3428,140,1647
Left,0.3547,141,1648
Left,0.3078,142,1649
Left,0.222,135,1650
Left,0.2179,140,1651
Left,0.1984,135,1652
Left,0.2362,149,1653
Left,0.2543,161,1654
Left,0.2742,138,1655
Left,0.2586,139,1656
Left,0.154,126,1657
Left,0.1072,131,1658
Left,0.1126,144,1659
Left,0.0901,116,1660
Left,0.0775,103,1661
Left,0.0968,122,1662
Left,0.0885,106,1663
Left,0.0856,102,1664
Left,0.0931,112,1665
Left,0.0673,83,1666
Left,0.0697,89,1667
Left,0.0852,103,1668
Left,0.069,84,1669
Left,0.0635,79,1670
Left,0.0746,94,1671
Left,0.0581,75,1672
Left,0.0499,66,1673
Left,0.0519,69,1674
Left,0.0483,63,1675
Left,0.0365,45,1676
Left,0.0484,60,1677
Left,0.0477,61,1678
Left,0.068,83,1679
Left,0.0374,51,1680
Left,0.0394,51,1681
Left,0.0459,59,1682
Left,0.0483,66,1683
Left,0.0463,62,1684
Left,0.0456,60,1685
Left,0.036,47,1686
Left,0.0258,38,1687
Left,0.0419,57,1688
Left,0.0353,47,1689
Left,0.0411,56,1690
Left,0.0469,60,1691
Left,0.0311,41,1692
Left,0.0336,48,1693
Left,0.0293,40,1694
Left,0.0241,32,1695
Left,0.0396,53,1696
Left,0.0269,38,1697
Left,0.0397,54,1698
